age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
25-34,Education,Research and Instruction Librarian,55000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Marketing Specialist,34000.0,USD,USA,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Program Manager,62000.0,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Accounting Manager,60000.0,USD,USA,South Carolina,Greenville,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Education,Scholarly Publishing Librarian,62000.0,USD,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
25-34,Others/Not Correctly Specified,Publishing Assistant,33000.0,USD,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Librarian,50000.0,USD,USA,Arizona,Yuma,5 - 7 years,5 - 7 years,Master's degree,Man,White
45-54,Computing/IT/Tech,Systems Analyst,112000.0,USD,USA,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Senior Accountant,45000.0,USD,USA,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Nonprofits,Office Manager,47500.0,USD,USA,,Boston,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Education,Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000.0,USD,USA,Pennsylvania,Scranton,11 - 20 years,5 - 7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Accounting/Banking/Finance,Manager of Information Services,100000.0,USD,USA,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
25-34,Law,Legal Aid Staff Attorney,52000.0,USD,USA,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,,Woman,White
35-44,Business/Consulting/Administrative Work,Executive Assistant,85000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Art/Design/Media,graphic designer,59000.0,USD,USA,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Senior Manager,98000.0,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Assistant Director of Academic Advising,54000.0,USD,USA,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Medical/Health Care,Data Programmer Analyst,74000.0,USD,USA,Pennsylvania,Philadelphia,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Program Coordinator & Assistant Editor ,50000.0,USD,USA,,Atlanta,5 - 7 years,2 - 4 years,PhD,Woman,White
35-44,Government/Public Administration,Researcher,96000.0,USD,USA,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
25-34,Business/Consulting/Administrative Work,Teen Librarian ,44500.0,USD,USA,Florida,Bradenton,5 - 7 years,2 - 4 years,,Woman,White
35-44,Education,Communications Specialist,60000.0,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
25-34,Nonprofits,Program Director,62000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Man,White
35-44,Law,Bookkeeper/Billing Manager,48000.0,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Government/Public Administration,Economist,140000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Research Engineer,80000.0,USD,USA,Texas,San Antonio,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Nonprofits,Volunteer and Giving Coordinator,39000.0,USD,USA,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Art/Design/Media,Editor,125000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Financial Advisor,230000.0,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Accounting Manager,110000.0,USD,USA,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Administrative and HR Manager,50000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Senior IRB Analyst,68000.0,USD,USA,North Carolina,Research Triangle,5 - 7 years,2 - 4 years,Master's degree,Woman,White
18-24,Art/Design/Media,Reporter,41000.0,USD,USA,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Senior Administrator ,76000.0,USD,USA,New York,Manhattan,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Government/Public Administration,Staff Services Manager II,78000.0,USD,USA,California,Sacramento,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Receptionist,37000.0,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
